报表日期	20260630	20260331	20251231	20250930	20250630	20250331	20241231	20240930	20240630	20240331	20231231	20230930	20230630	20230331	20221231	20220930	20220630	20220331	20211231	20210930	20210630	20210331	20201231	20200930	20200630	20200331	20191231	20190930	20190630	20190331	20181231	20180930	20180630	20180331	20171231	20170930	20170630	20170331	20161231	20160930	20160630	20160331	20151231	20150930	20150630	20150331	20141231	20140930	20140630	20140331	20131231	20130930	20130630	20130331	20121231	20120930	20120630	20120331	20111231	20110930	20110630	20110331	20101231	20100930	20100630	20100331	20091231	20090930	20090630	20090331	20081231	20080930	20080630	20080331	20071231	20070930	20070630	20070331	20061231	20060930	20060630	20060331	20051231	20050930	20050630	20050331	20041231	20040930	20040630	20040331	20031231	20030930	20030630	20030331	20021231	20020930	20020630	20020331	20011231	20010630	20001231	20000630	19991231	19990630	19981231	19971231	19961231	19951231	19700101	
单位	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元		
流动资产
货币资金	3909303015.69	5697327219.17	4969475416.63	6061647376.96	5094915936.51	9243792816.66	5749628439.70	6008492275.92	3732420495.36	6071348591.71	2834162998.73	4609180831.96	3188751874.28	7618286621.39	5768851029.71	8947320942.06	5758981468.58	9199298565.97	7839214998.41	8200568649.33	5204437023.71	9979126646.90	8485885001.20	7462727680.85	4598960020.84	5331094435.90	3455331419.03	2178809716.22	1636526123.81	1564178885.44	2617940968.03	3833059504.51	3826852041.87	5914926990.38	6162804240.18	5068440765.73	2690843089.16	4364632888.87	3303688588.09	2727863825.14	1432148750.09	1498872222.96	2426692246.83	1682115865.98	1949484007.07	1843614522.20	2928640728.68	1169758279.50	1109123175.73	2802266108.62	3845656611.42	2470862277.40	2613363813.25	5203470307.13	4074572936.71	2829367757.47	937045883.70	1755040010.05	2795195478.81	2459114864.66	2799623010.16	1864956045.59	2383445989.80	2231599358.07	1627625721.21	1935511531.77	1912205903.09	2097853306.44	2169843148.64	2608664553.77	1281542922.68	1104736548.91	461587816.13	871157372.67	898358554.25	912078405.66	818885285.70	1039224731.40	753032369.48	624799025.74	277563751.90	348521442.05	541539963.67	386746791.82	264860157.44	484355929.33	432641480.17	300372731.69	319624278.12	530705075.09	490739645.26	582179804.55	672433975.29	826848864.94	683607979.77	680937567.59	643472206.02	109588130.13	138345764.75	112306942.99	107968107.17	132177650.10	226526345.80	195928225.77	234350393.55	40030283.57	81088940.00	87396279.56	0	
交易性金融资产	0	971695778.30	300097232.88	600879556.70	501964931.44	3768925222.99	2271045223.94	2661268132.37	2159679496.53	3474924897.22	613282123.26	3921298355.01	1405767013.67	3923343886.28	1031167727.91	1847806731.18	621933539.77	2458216349.76	1464488345.16	2016353930.09	3439838846.55	6423242670.73	5735620003.05	9048650976.68	2613237197.21	3349802541.84	3052713858.41	3379385251.61	2868391734.40	3845791294.12	1870237766.77	2012662684.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75740.00	115080.00	50635.00	0	9802350.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3030304.00	3030304.00	0	0	0	0	0	0	0	0	20000000.00	0	0	0	0	0	
衍生金融资产	0	808170.00	0	0	77160.00	981440.00	0	0	213000.00	2840.00	0	0	38490.00	0	166800.00	1326050.00	0	0	541360.00	0	0	0	0	0	0	0	0	4175482.81	510426.38	0	167642.00	317261.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收票据及应收账款	419931458.76	385978060.54	479801715.14	376113440.62	277917021.47	295011918.80	286503932.83	282468292.35	239173842.91	216341153.66	227487644.22	210073612.97	187576940.94	217698620.91	236686794.99	250101540.01	236787805.94	209064463.90	233135507.24	331434909.33	290359316.84	293813358.36	280509236.00	230300544.29	243084868.65	280157838.57	212963724.63	190115131.47	174031414.05	137005872.59	161664872.90	148145512.32	145781280.72	124365172.24	161019197.60	0	158174027.13	150837200.94	161069449.86	0	171658993.96	140334581.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收票据	40569343.86	19259644.43	26088704.68	31286787.00	37169442.48	42179928.00	12941960.00	16500000.00	19800000.00	11100000.00	10200000.00	8000000.00	16300000.00	39978235.54	52376392.06	48000747.54	41864970.84	29826735.30	49644623.85	34400000.00	59140000.00	65150000.00	44600000.00	26500000.00	28300000.00	42505889.56	58965192.00	64218505.50	62159129.62	32869974.60	61994944.86	37889002.12	34102100.50	20926859.00	25975745.00	26351285.24	48585001.00	56006305.00	60233834.95	38648722.10	59441431.92	25026751.35	34175619.57	33841183.32	29845483.40	17098452.50	23844573.34	48173960.69	47298050.76	26290000.00	56497647.00	46084174.70	31039159.20	32995806.30	39968155.00	29465000.00	37140000.00	35850000.00	25893846.57	28924592.00	12010000.00	34751223.91	53167601.91	33019738.50	38925000.00	33900000.00	13500000.00	48218000.00	187461296.00	160944000.00	71107521.00	72395273.00	53010340.00	45246170.00	67381877.49	62217188.87	30739550.00	37419550.00	29609682.00	26443753.40	27384170.00	16232009.27	5568529.27	60054610.00	80000000.00	100020000.00	46047425.56	367425.56	6042030.00	2600000.00	93475249.22	10460135.34	33643204.56	3000000.00	30764920.00	6984200.00	350000.00	1913700.00	10352200.00	8795000.00	24626000.00	24035000.00	18380000.00	21805160.00	18500000.00	4300000.00	0	0	0	
应收账款	379362114.90	366718416.11	453713010.46	344826653.62	240747578.99	252831990.80	273561972.83	265968292.35	219373842.91	205241153.66	217287644.22	202073612.97	171276940.94	177720385.37	184310402.93	202100792.47	194922835.10	179237728.60	183490883.39	297034909.33	231219316.84	228663358.36	235909236.00	203800544.29	214784868.65	237651949.01	153998532.63	125896625.97	111872284.43	104135897.99	99669928.04	110256510.20	111679180.22	103438313.24	135043452.60	109764261.58	109589026.13	94830895.94	100835614.91	104685660.50	112217562.04	115307829.80	131744098.38	117575695.36	119780943.59	115657058.08	129347112.51	145093187.09	153939732.09	143034158.72	194544399.80	202259492.80	229801961.54	164361001.61	225908189.06	247043495.16	354960306.36	170665038.30	212366262.35	199235714.75	131289674.37	118437587.00	136875519.66	137206308.47	133866559.34	102765579.35	85542475.51	89386185.76	87442818.43	63312586.90	71434875.19	65457642.79	49915372.42	56362339.32	29662507.41	36749312.68	31074978.55	28924973.73	26220214.67	46172171.34	44945920.58	63870302.26	69700294.97	135082493.01	171295369.49	158949504.12	106833335.47	236642084.40	265754930.44	360557130.41	154018016.58	263108259.79	189739687.04	193971230.50	153095654.32	190904358.64	149155793.29	287055488.05	81236556.45	118244683.12	127903167.45	70320242.74	84021647.04	129466791.33	158289255.16	245178357.53	225034398.46	160646067.24	0	
应收款项融资	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
预付款项	256976651.76	280173373.03	385199331.34	280835320.92	279589008.91	266810370.76	149342318.28	156803828.27	121330849.73	120132559.50	89631519.45	82231511.11	80133610.47	77878497.42	105101835.24	118107484.37	104402767.49	132583938.03	169468559.79	269451571.79	72876170.64	160450444.78	245458023.72	416063783.65	364722397.24	320505793.06	212027935.58	68026198.34	45380583.65	23409769.83	64050206.51	32685515.75	30189901.73	34149189.66	75313646.39	37953007.36	28635273.09	32073918.16	57586136.30	29826492.13	34243286.19	30050821.95	76576324.22	61817460.99	32293792.75	54525051.92	80137715.28	38250181.91	42442948.73	45182710.68	78738043.87	119756161.55	120463783.93	75062651.26	63305622.66	106658509.38	53725324.16	61466723.72	126849505.62	72708216.45	86697561.86	10251109.87	49535436.25	58327827.63	46544225.10	13259779.25	11295701.58	12569611.53	7728181.48	13272699.16	13830492.74	11886994.48	10225778.38	68643087.10	19807052.91	26489077.59	17085632.27	9831177.18	6232308.35	16545274.05	14805130.09	4955449.36	13684822.74	25986323.63	110550674.75	35146522.04	30484901.05	89253258.15	66641567.78	80239833.51	55263078.58	63903072.63	32138976.42	41761907.86	45410377.58	44545315.39	39313972.16	160983892.18	135465884.85	298291643.87	108414219.18	74017847.53	115919006.80	37894014.82	11856258.60	106918456.87	170177478.31	110807923.78	0	
其他应收款(合计)	95529636.83	112356555.99	122764274.56	152859427.75	89743385.91	78470609.32	93966843.13	72211204.15	80568574.64	85595612.41	18623814.13	24279870.98	24436485.20	19896793.44	20553141.98	126866035.08	27036074.13	45551233.90	45487923.92	35215860.41	37686109.50	42356270.49	55305654.74	45216388.42	50379605.94	110801133.09	85654976.38	103688592.38	78706197.71	50430835.68	32551664.54	59348900.76	9679630.38	11383310.64	10432491.67	0	47741626.73	81544902.99	47682603.89	0	104719236.16	103553072.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收利息	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	347385.92	275470.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1606018.54	0	0	3786809.81	285000.00	320000.00	581605.02	2068424.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
应收股利	8028243.49	14908988.98	8028243.49	23998560.41	20028243.49	29946695.19	20028243.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13872921.53	0	0	0	0	0	0	0	16575170.59	0	0	0	0	0	0	0	0	0	0	0	17376981.40	0	0	0	0	0	0	0	0	0	0	0	0	0	20143122.75	20143122.75	24817701.79	0	18934910.34	3189689.03	14213955.44	0	0	0	0	3996245.96	0	0	26838334.23	0	0	0	0	0	0	0	641314.19	0	0	0	0	648838.09	0	0	2216568.25	23817322.31	0	0	1492455.55	20697837.90	0	21354782.10	0	11504156.09	5752572.86	11849046.78	3380656.59	0	0	0	
其他应收款	0	0	0	0	69715142.42	0	73938599.64	0	80568574.64	0	18623814.13	0	24436485.20	0	20553141.98	0	27036074.13	0	45487923.92	0	37686109.50	0	55305654.74	0	50379605.94	0	85379506.20	0	78706197.71	0	32551664.54	59348900.76	9679630.38	11383310.64	10432491.67	29724821.37	47741626.73	64969732.40	47682603.89	85692251.81	104719236.16	103553072.41	53131097.03	68923182.84	83279662.49	85861827.66	80482158.99	49886356.23	79266295.63	58736645.50	55681569.59	66912300.36	42025165.00	57276314.71	49002709.52	45530293.31	37023629.04	32203857.13	78023870.79	83946569.65	114882480.34	111549827.25	136432117.62	41450115.26	35989217.70	25090941.27	18201514.00	20648522.83	22031303.93	13785749.80	8373646.52	13468389.00	13548203.33	11269927.49	6033740.07	12897872.88	22761497.85	8164923.22	6238541.40	12495833.11	15775147.17	23808519.22	8148931.87	22374571.08	28848526.05	37722968.70	23328429.81	48927988.85	38593580.57	46134420.26	27274852.65	54595916.66	52563822.34	28268563.82	25433013.47	45671604.58	35283684.57	39657461.12	30481309.18	39836013.33	40077902.06	59723226.74	61181079.98	41869033.06	40811405.42	80746287.94	92123938.53	34851912.52	0	
买入返售金融资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
存货	6823034960.68	5829377333.84	5547612648.04	5547120346.46	6335974614.31	6259416459.11	6927950505.95	6247575661.83	7097669417.97	7137195929.21	8266656574.16	7780949825.06	7756037525.53	6094837753.85	6121265080.48	6729299179.71	6927514925.41	5743972960.74	5668922729.50	7252432797.70	7757773186.61	5794105746.72	6377695426.57	6286197350.76	9367822679.79	8754676457.80	8801425418.16	7760567676.56	7203684926.66	5270518676.25	4228364762.60	3818578615.06	4080783559.90	3006646756.12	2928255410.86	2784665092.53	3320718967.80	2507313440.87	3219714749.87	3265942722.35	2882247952.93	2589563233.91	3384796676.51	3557246140.06	3723279248.03	3465836495.58	3719994988.43	4419864612.80	4321661497.03	3933850553.15	3568180464.02	3151925407.47	2842154989.02	2308917891.83	2066899140.51	2470712668.55	1349693540.27	1273585196.80	3382480621.82	1561199995.74	1351209112.22	1513727622.55	1397317395.90	1230493399.26	1773132649.96	1381347955.08	1391170555.64	1052800787.12	1153049770.93	801405825.95	968174632.49	941850361.41	1133959227.52	1096958588.19	1044636881.27	967400829.07	716764677.05	674456062.90	950023181.80	966571203.08	998339375.13	777124257.88	850154342.50	805636361.93	1005069883.20	607138876.61	687742132.33	571783733.51	618919212.43	495557928.43	530635432.07	371113374.84	400483446.12	465158759.32	419661260.85	283907005.91	274061788.21	217792758.26	275590543.00	341822485.48	274530459.90	234638825.73	218084859.40	215510048.39	217865976.12	237493782.03	161913265.37	112383280.48	0	
划分为持有待售的资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
