# 东财月K收盘价 secid=0.000895 beg=20190601 end=20240630 klt=103
# fqt=1 等差前复权 | fqt=0 不复权 | fqt=2 等比后复权
# date,adj_fqt1,raw_fqt0,post_fqt2
2019-06-28,14.36,24.89,388.26
2019-07-31,13.48,24.01,378.51
2019-08-30,11.83,22.36,360.21
2019-09-30,14.17,24.70,386.16
2019-10-31,19.32,29.85,443.26
2019-11-29,20.46,30.99,455.90
2019-12-31,18.50,29.03,434.17
2020-01-23,18.73,29.26,436.72
2020-02-28,23.47,34.00,489.28
2020-03-31,28.77,39.30,548.04
2020-04-30,29.88,40.41,560.35
2020-05-29,29.03,39.56,550.93
2020-06-30,36.56,46.09,634.42
2020-07-31,45.10,54.63,729.11
2020-08-31,53.97,63.50,827.46
2020-09-30,43.40,52.93,710.26
2020-10-30,40.47,50.00,677.77
2020-11-30,37.23,46.12,641.85
2020-12-31,38.05,46.94,650.94
2021-01-29,38.10,46.99,651.50
2021-02-26,37.15,46.04,640.96
2021-03-31,32.11,41.00,585.08
2021-04-30,27.75,36.64,536.73
2021-05-31,28.01,35.22,539.62
2021-06-30,24.59,31.80,501.70
2021-07-30,18.47,25.68,433.84
2021-08-31,16.89,24.10,416.32
2021-09-30,19.94,27.15,450.14
2021-10-29,22.29,29.50,476.19
2021-11-30,21.25,28.46,464.66
2021-12-31,24.34,31.55,498.92
2022-01-28,22.59,29.80,479.52
2022-02-28,21.59,28.80,468.43
2022-03-31,21.85,29.06,471.31
2022-04-29,23.84,29.75,493.36
2022-05-31,22.43,28.34,477.72
2022-06-30,23.39,29.30,488.37
2022-07-29,20.92,26.83,460.98
2022-08-31,20.90,26.81,460.76
2022-09-30,19.15,24.46,441.35
2022-10-31,17.47,22.78,422.73
2022-11-30,19.95,25.26,450.22
2022-12-30,20.62,25.93,457.65
2023-01-31,20.19,25.50,452.89
2023-02-28,21.17,26.48,463.75
2023-03-31,20.63,25.94,457.76
2023-04-28,20.64,24.95,457.88
2023-05-31,20.27,24.58,453.77
2023-06-30,20.18,24.49,452.77
2023-07-31,20.93,25.24,461.09
2023-08-31,22.55,26.86,479.05
2023-09-28,22.83,26.39,482.16
2023-10-31,22.65,26.21,480.16
2023-11-30,22.54,26.10,478.94
2023-12-29,23.15,26.71,485.71
2024-01-31,24.88,28.44,504.89
2024-02-29,25.66,29.22,513.54
2024-03-29,22.69,26.25,480.61
2024-04-30,24.08,26.94,496.02
2024-05-31,22.48,25.34,478.28
2024-06-28,20.91,23.77,460.87
