共 9999 条（第 1 页，每页 10 条，共 1000 页）
| id | title | time | typeStr | type | symbol | url | src | summary | tzpj |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| res831812262140 | 【国盛证券】招商银行(600036)2026一季报点评：营收增速提升 财富管理向好 | 2026-05-10 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res831738985171 | 【国海证券】招商银行(600036)公司动态研究：营收增速回升 资产质量保持优良 | 2026-05-08 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res831250320263 | 【长江证券】招商银行(600036)：如何理解业绩的预期与分歧？ | 2026-05-04 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res831285932742 | 【中泰证券】招商银行(600036)2026一季报：业绩改善 财富管理持续发力 | 2026-05-01 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 增持 |
| res831230106742 | 【国联民生证券】招商银行(600036)2026年一季报点评：如何看待招行投资收益负增长？ | 2026-04-30 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 增持 |
| res830956920698 | 【光大证券】招商银行(600036)2026年一季报点评：营收增速中枢上移 财富管理细水长流 | 2026-04-30 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res831296707385 | 【东海证券】招商银行(600036)：息差下行趋缓 出清弹性渐显 | 2026-04-30 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res830946718098 | 【万联证券】招商银行(600036)点评报告：营收增速改善 | 2026-04-30 00:00:00 | 年度点评 | 1 | sh600036 |  |  |  | 增持 |
| res830774892569 | 【国信证券】招商银行(600036)：客群优势深化 财富管理亮眼 | 2026-04-29 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  | 买入 |
| res830796343580 | 【华创证券】招商银行(600036)2026年一季报点评：营收利润维持正增 财富管理业务表现较好 | 2026-04-29 00:00:00 | 季度点评 | 1 | sh600036 |  |  |  |  |
