| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-08-27 | 215.53 | 209.66 | 215.59 | 207.25 | 617296313 | 130204006042 | 2.54 |
| 2026-08-21 | 225.98 | 214.72 | 227.92 | 214.5 | 484930583 | 106453086613 | 2.01 |
| 2026-08-14 | 223.4 | 225.16 | 227.49 | 216.2 | 500451476 | 111180060202 | 2.07 |
| 2026-08-07 | 197.69 | 223.96 | 224.76 | 196.85 | 641126367 | 138393787308 | 2.65 |
| 2026-07-31 | 208.2 | 200.75 | 208.75 | 190.01 | 705117304 | 138287812502 | 2.91 |
| 2026-07-24 | 205.87 | 206.84 | 214.39 | 202.28 | 560374832 | 116634133470 | 2.32 |
| 2026-07-17 | 208.54 | 202.81 | 213.81 | 197.97 | 637855799 | 132123213337 | 2.64 |
| 2026-07-10 | 194.42 | 210.96 | 211 | 191.14 | 661031082 | 132931923070 | 2.73 |
| 2026-07-02 | 193.85 | 194.83 | 200.63 | 189.8 | 603845534 | 118574710314 | 2.49 |
| 2026-06-26 | 211.44 | 192.53 | 213.99 | 191.22 | 756858113 | 150759803595 | 3.12 |
| 2026-06-18 | 208.92 | 210.69 | 212.71 | 203.08 | 645266274 | 134982305335 | 2.67 |
| 2026-06-12 | 210.18 | 205.19 | 211.4 | 199.34 | 752070392 | 154097641943 | 3.10 |
| 2026-06-05 | 215.471 | 205.1 | 232.001 | 204.33 | 955798272 | 207976234941 | 3.95 |
| 2026-05-29 | 216.28 | 210.887 | 217.918 | 208.53 | 788210419 | 168168986711 | 3.24 |
| 2026-05-22 | 229.594 | 215.072 | 229.724 | 214.542 | 844088160 | 186566306155 | 3.48 |
| 2026-05-15 | 213.783 | 225.05 | 236.256 | 213.633 | 832028275 | 187669276842 | 3.44 |
| 2026-05-08 | 199.261 | 214.942 | 217.539 | 194.506 | 731866758 | 150942281018 | 3.02 |
| 2026-05-01 | 209.398 | 198.212 | 216.57 | 196.884 | 845045757 | 174957560231 | 3.48 |
| 2026-04-24 | 199.74 | 208.02 | 210.697 | 196.983 | 662524003 | 134412065778 | 2.72 |
| 2026-04-17 | 185.807 | 201.438 | 201.458 | 185.517 | 774630853 | 152010788514 | 3.18 |
| 2026-04-10 | 176.947 | 188.404 | 189.772 | 173.452 | 664719914 | 120747629791 | 2.74 |
| 2026-04-02 | 168.578 | 177.177 | 177.277 | 164.073 | 723083455 | 124573312705 | 2.97 |
| 2026-03-27 | 177.047 | 167.319 | 181.003 | 166.81 | 875471108 | 152594470997 | 3.61 |
| 2026-03-20 | 182.75 | 172.493 | 188.653 | 171.514 | 968780328 | 174514378071 | 3.97 |
| 2026-03-13 | 176.6 | 180.034 | 187.395 | 175.332 | 818363589 | 149810638957 | 3.37 |
| 2026-03-06 | 174.783 | 177.589 | 184.46 | 174.413 | 952727637 | 172492483935 | 3.92 |
| 2026-02-27 | 191.151 | 176.96 | 197.373 | 176.151 | 1269789944 | 238997281725 | 5.22 |
| 2026-02-20 | 181.514 | 189.573 | 190.123 | 178.947 | 632002848 | 118251020653 | 2.60 |
| 2026-02-13 | 184.021 | 182.572 | 193.408 | 181.354 | 829165373 | 156612663096 | 3.41 |
| 2026-02-06 | 186.957 | 185.169 | 190.053 | 170.808 | 1014486890 | 182303316759 | 4.17 |
| 2026-01-30 | 186.917 | 190.882 | 194.237 | 185.459 | 768317721 | 145970689799 | 3.16 |
| 2026-01-23 | 181.664 | 187.426 | 189.354 | 177.379 | 706110918 | 129215927581 | 2.90 |
| 2026-01-16 | 182.982 | 185.988 | 190.192 | 180.565 | 851839338 | 158406468032 | 3.51 |
| 2026-01-09 | 191.511 | 184.62 | 193.378 | 183.431 | 817720093 | 153459249162 | 3.37 |
| 2026-01-02 | 187.466 | 188.605 | 192.679 | 185.668 | 486034323 | 91583626233 | 1.99 |
| 2025-12-26 | 183.681 | 190.282 | 192.44 | 182.113 | 509206827 | 95484393845 | 2.09 |
| 2025-12-19 | 177.709 | 180.755 | 181.214 | 170.089 | 1037161126 | 182932762846 | 4.27 |
| 2025-12-12 | 182.403 | 174.793 | 187.756 | 174.393 | 898294740 | 163191623359 | 3.70 |
| 2025-12-05 | 174.515 | 182.173 | 185.4 | 173.437 | 847237163 | 153558760371 | 3.48 |
| 2025-11-28 | 179.239 | 176.752 | 183.243 | 169.313 | 882403392 | 157027782449 | 3.64 |
| 2025-11-21 | 185.71 | 178.63 | 195.726 | 172.688 | 1324905173 | 243744579437 | 5.45 |
| 2025-11-14 | 194.837 | 189.904 | 199.66 | 180.327 | 924330654 | 176953448099 | 3.80 |
| 2025-11-07 | 207.789 | 187.887 | 211.044 | 178.66 | 1028508970 | 200749444206 | 4.23 |
| 2025-10-31 | 189.724 | 202.207 | 211.893 | 188.166 | 1118935069 | 225543207433 | 4.59 |
| 2025-10-24 | 182.874 | 185.999 | 187.208 | 176.513 | 657694826 | 119880474058 | 2.71 |
| 2025-10-17 | 187.707 | 182.964 | 189.844 | 177.042 | 926433143 | 169242595068 | 3.80 |
| 2025-10-10 | 185.24 | 182.904 | 195.346 | 181.795 | 879706566 | 166042533025 | 3.61 |
| 2025-10-03 | 180.177 | 187.357 | 190.783 | 180.068 | 878292105 | 163422670975 | 3.60 |
| 2025-09-26 | 175.055 | 177.941 | 184.292 | 172.888 | 945921134 | 169110648231 | 3.89 |
| 2025-09-19 | 175.424 | 176.423 | 178.6 | 168.174 | 928588607 | 162327928341 | 3.81 |
| 2025-09-12 | 167.299 | 177.571 | 180.028 | 166.49 | 824239845 | 143699034540 | 3.38 |
| 2025-09-05 | 169.745 | 166.77 | 172.151 | 163.824 | 761701305 | 128811264271 | 3.13 |
| 2025-08-29 | 178.083 | 173.919 | 184.193 | 172.89 | 1092265621 | 195770524630 | 4.49 |
| 2025-08-22 | 180.329 | 177.723 | 182.666 | 168.547 | 845210180 | 149131470886 | 3.46 |
| 2025-08-15 | 181.777 | 180.179 | 184.203 | 177.773 | 750080237 | 136124758851 | 3.08 |
| 2025-08-08 | 174.897 | 182.426 | 183.604 | 174.258 | 717049539 | 128829808154 | 2.94 |
| 2025-08-01 | 173.759 | 173.459 | 183.025 | 170.634 | 894627672 | 158373325957 | 3.66 |
| 2025-07-25 | 172.491 | 173.24 | 174.458 | 164.333 | 721624080 | 123274801233 | 2.95 |
| 2025-07-18 | 165.122 | 172.151 | 173.989 | 161.777 | 833732148 | 142109401847 | 3.42 |
| 2025-07-11 | 157.963 | 164.673 | 167.638 | 157.104 | 823265781 | 133711233045 | 3.37 |
| 2025-07-03 | 158.162 | 159.101 | 160.739 | 151.263 | 722664103 | 113169335806 | 2.96 |
| 2025-06-27 | 142.286 | 157.513 | 158.472 | 141.817 | 1072401818 | 163021707626 | 4.39 |
| 2025-06-20 | 143.135 | 143.634 | 145.981 | 142.436 | 726691944 | 105119984288 | 2.98 |
| 2025-06-13 | 142.961 | 141.757 | 144.783 | 140.649 | 851875991 | 122041787596 | 3.50 |
| 2025-06-06 | 135.273 | 141.493 | 143.77 | 135.184 | 976759630 | 137260022005 | 4.00 |
| 2025-05-30 | 133.936 | 134.914 | 143.261 | 132.708 | 1200760777 | 164589509861 | 4.93 |
| 2025-05-23 | 132.178 | 131.08 | 137.18 | 128.954 | 1011442834 | 134940951326 | 4.15 |
| 2025-05-16 | 121.775 | 135.184 | 136.132 | 120.088 | 1289809294 | 169046836388 | 5.28 |
| 2025-05-09 | 112.73 | 116.464 | 118.49 | 110.643 | 830916994 | 95733295458 | 3.40 |
| 2025-05-02 | 109.515 | 114.317 | 115.216 | 103.914 | 1039513638 | 114588880379 | 4.26 |
| 2025-04-25 | 98.612 | 110.833 | 111.741 | 94.888 | 1248911604 | 128035143234 | 5.11 |
| 2025-04-17 | 113.928 | 101.328 | 114.107 | 99.89 | 1183206284 | 126094738401 | 4.85 |
| 2025-04-11 | 87.32 | 110.753 | 114.916 | 86.482 | 2451432693 | 253373071781 | 10.03 |
| 2025-04-04 | 104.962 | 94.159 | 111.801 | 91.963 | 1613471152 | 165798736647 | 6.61 |
| 2025-03-28 | 119.688 | 109.495 | 122.025 | 108.896 | 1159106003 | 133776991383 | 4.75 |
| 2025-03-21 | 122.544 | 117.512 | 122.694 | 114.357 | 1343942927 | 158517656378 | 5.51 |
| 2025-03-14 | 109.713 | 121.475 | 121.685 | 104.592 | 1621837095 | 183599381753 | 6.65 |
| 2025-03-07 | 123.3 | 112.499 | 123.49 | 107.377 | 1756819893 | 200846149191 | 7.21 |
| 2025-02-28 | 136.328 | 124.708 | 138.355 | 116.202 | 1677630653 | 213430237105 | 6.87 |
| 2025-02-21 | 141.03 | 134.202 | 143.196 | 133.802 | 758833801 | 105532324914 | 3.09 |
| 2025-02-14 | 129.869 | 138.614 | 139.013 | 128.861 | 949079549 | 127374725324 | 3.88 |
| 2025-02-07 | 114.555 | 129.619 | 130.149 | 112.818 | 1370566218 | 167573859253 | 5.60 |
| 2025-01-31 | 124.588 | 119.866 | 128.781 | 116.053 | 2648916253 | 324074511291 | 10.81 |
| 2025-01-24 | 138.924 | 142.378 | 148.717 | 136.857 | 825973564 | 119161033951 | 3.38 |
| 2025-01-17 | 129.769 | 137.476 | 138.514 | 129.29 | 996041080 | 133885710323 | 4.07 |
| 2025-01-10 | 148.338 | 135.679 | 152.87 | 133.992 | 1052111995 | 150575163609 | 4.30 |
| 2025-01-03 | 134.601 | 144.225 | 144.654 | 133.603 | 750963555 | 104359671974 | 3.07 |
| 2024-12-27 | 136.049 | 136.777 | 141.659 | 134.481 | 568312188 | 78642115089 | 2.33 |
| 2024-12-20 | 133.952 | 134.471 | 136.468 | 126.645 | 1291053689 | 170296018505 | 5.27 |
| 2024-12-13 | 138.734 | 134.022 | 141.579 | 132.315 | 974960979 | 133673889214 | 3.99 |
| 2024-12-06 | 138.58 | 142.198 | 146.291 | 137.582 | 928447790 | 132043406920 | 3.78 |
| 2024-11-29 | 141.735 | 138.001 | 141.795 | 131.563 | 903463597 | 123308297696 | 3.69 |
| 2024-11-22 | 139.249 | 141.695 | 152.615 | 136.903 | 1396925283 | 201170542627 | 5.70 |
| 2024-11-15 | 148.413 | 141.725 | 149.381 | 139.828 | 1017459795 | 148429356298 | 4.14 |
| 2024-11-08 | 136.963 | 147.364 | 149.501 | 135.326 | 973098624 | 139810442253 | 3.97 |
| 2024-11-01 | 142.743 | 135.156 | 142.883 | 131.872 | 987765940 | 135969429204 | 4.02 |
| 2024-10-25 | 137.882 | 141.285 | 144.16 | 137.213 | 1154273138 | 163172098019 | 4.71 |
| 2024-10-18 | 136.225 | 137.752 | 140.637 | 128.508 | 1357584514 | 184718402567 | 5.54 |
| 2024-10-11 | 124.765 | 134.558 | 135.536 | 124.725 | 1290685141 | 170202683570 | 5.25 |
| 2024-10-04 | 118.097 | 124.695 | 124.815 | 114.933 | 1272577548 | 153457881748 | 5.19 |
| 2024-09-27 | 116.34 | 121.182 | 127.44 | 114.653 | 1419480253 | 172057699762 | 5.78 |
| 2024-09-20 | 116.58 | 115.791 | 119.445 | 113.016 | 1466985987 | 171081144647 | 5.99 |
| 2024-09-13 | 104.681 | 118.886 | 120.573 | 103.493 | 1589076945 | 179295981254 | 6.48 |
| 2024-09-06 | 115.79 | 102.635 | 115.989 | 100.758 | 1570114185 | 168339906194 | 6.41 |
| 2024-08-30 | 129.324 | 119.143 | 131.011 | 116.488 | 1869975248 | 231518289597 | 7.61 |
| 2024-08-23 | 124.044 | 129.124 | 130.502 | 122.866 | 1575723972 | 200796253759 | 6.40 |
| 2024-08-16 | 106.118 | 124.343 | 124.763 | 106.058 | 1598129482 | 187130602205 | 6.49 |
| 2024-08-09 | 91.885 | 104.551 | 108.593 | 90.518 | 2056049067 | 211102498059 | 8.35 |
| 2024-08-02 | 113.474 | 107.066 | 119.932 | 101.178 | 2213649314 | 243586596557 | 9.00 |
| 2024-07-26 | 120.122 | 112.845 | 124.453 | 106.098 | 1513222902 | 176337280155 | 6.15 |
| 2024-07-19 | 130.312 | 117.706 | 131.141 | 116.339 | 1351385198 | 164614987440 | 5.49 |
| 2024-07-12 | 127.248 | 128.995 | 135.892 | 126.799 | 1401139984 | 183268020000 | 5.70 |
| 2024-07-05 | 123.236 | 125.591 | 128.605 | 118.604 | 933185147 | 115876660458 | 3.80 |
| 2024-06-28 | 123.006 | 123.305 | 127.877 | 117.816 | 1832912673 | 226110996363 | 7.46 |
| 2024-06-21 | 132.738 | 126.33 | 140.493 | 124.064 | 1756092587 | 230638247860 | 7.13 |
| 2024-06-14 | 120.129 | 131.63 | 132.588 | 116.776 | 1406333722 | 176648281266 | 5.72 |
| 2024-06-07 | 113.394 | 120.646 | 125.336 | 111.779 | 244719954 | 289907087830 | 9.95 |
| 2024-05-31 | 110.024 | 109.414 | 115.588 | 106.726 | 231078265 | 259358754343 | 9.39 |
| 2024-05-24 | 93.563 | 106.256 | 106.262 | 92.994 | 246091786 | 244998809654 | 10.01 |
| 2024-05-17 | 90.297 | 92.294 | 95.628 | 88.352 | 168756555 | 156509601899 | 6.80 |
| 2024-05-10 | 89.211 | 89.698 | 92.036 | 88.055 | 185260327 | 167282905802 | 7.40 |
| 2024-05-03 | 87.42 | 88.612 | 89.103 | 81.093 | 208878089 | 179687367750 | 8.35 |
| 2024-04-26 | 77.948 | 87.56 | 88.154 | 76.247 | 252275892 | 206978983458 | 10.09 |
| 2024-04-19 | 88.92 | 76.048 | 90.432 | 75.455 | 263138782 | 221445117785 | 10.52 |
| 2024-04-12 | 88.523 | 88.01 | 90.558 | 82.856 | 207713794 | 181150687334 | 8.31 |
| 2024-04-05 | 90.119 | 87.832 | 92.041 | 85.708 | 209021497 | 186093041446 | 8.36 |
| 2024-03-28 | 93.753 | 90.175 | 96.573 | 88.945 | 208706316 | 193567282573 | 8.34 |
| 2024-03-22 | 90.207 | 94.101 | 94.589 | 84.84 | 288730166 | 260568527434 | 11.56 |
| 2024-03-15 | 86.256 | 87.661 | 91.776 | 83.998 | 322655648 | 285521512521 | 12.90 |
| 2024-03-08 | 83.962 | 87.353 | 97.205 | 83.25 | 346916427 | 308326597663 | 13.87 |
| 2024-03-01 | 79.541 | 82.115 | 82.136 | 76.971 | 227521245 | 180812120918 | 9.11 |
| 2024-02-23 | 71.803 | 78.659 | 82.229 | 66.116 | 308961934 | 228408013423 | 12.42 |
| 2024-02-16 | 72.455 | 72.468 | 74.462 | 69.481 | 263665618 | 192148997126 | 10.67 |
| 2024-02-09 | 68.089 | 71.989 | 72.041 | 66.168 | 270982292 | 187569925241 | 10.98 |
| 2024-02-02 | 61.11 | 66.028 | 66.467 | 60.579 | 205898659 | 129620692835 | 8.33 |
| 2024-01-26 | 59.929 | 60.909 | 62.723 | 58.468 | 218096527 | 132954642113 | 8.82 |
| 2024-01-19 | 54.908 | 59.372 | 59.381 | 54.631 | 195912601 | 111513543719 | 7.93 |
| 2024-01-12 | 49.413 | 54.601 | 55.235 | 49.38 | 289915809 | 154863901449 | 11.74 |
| 2024-01-05 | 49.146 | 48.999 | 49.448 | 47.225 | 145372455 | 70152891813 | 5.88 |
| 2023-12-29 | 48.87 | 49.423 | 49.897 | 48.654 | 111372828 | 55106261856 | 4.52 |
| 2023-12-22 | 49.301 | 48.732 | 50.332 | 48.002 | 182785813 | 90072886334 | 7.40 |
| 2023-12-15 | 47.396 | 48.792 | 49.305 | 45.738 | 220108613 | 105162043207 | 8.90 |
| 2023-12-08 | 45.98 | 47.411 | 47.646 | 44.916 | 189989686 | 87893802905 | 7.68 |
| 2023-12-01 | 47.7 | 46.667 | 48.66 | 46.09 | 207472104 | 98667111716 | 8.41 |
| 2023-11-24 | 49.209 | 47.676 | 50.442 | 47.59 | 217717644 | 107078024373 | 8.81 |
| 2023-11-17 | 48.219 | 49.195 | 49.855 | 47.998 | 194224007 | 95385137614 | 7.88 |
| 2023-11-10 | 45.19 | 48.234 | 48.37 | 44.805 | 205355529 | 96051557134 | 8.31 |
| 2023-11-03 | 41.001 | 44.911 | 45.214 | 39.148 | 217737120 | 91725284295 | 8.82 |
| 2023-10-27 | 41.143 | 40.415 | 43.605 | 39.796 | 223594779 | 93476485379 | 9.06 |
| 2023-10-20 | 44.968 | 41.3 | 46.128 | 40.992 | 279322538 | 120606013287 | 11.31 |
| 2023-10-13 | 44.748 | 45.366 | 47.509 | 44.275 | 211314468 | 97396270287 | 8.55 |
| 2023-10-06 | 43.938 | 45.666 | 45.693 | 43.155 | 209388772 | 93025818761 | 8.47 |
| 2023-09-29 | 41.504 | 43.408 | 44.051 | 41.091 | 208880097 | 89018574801 | 8.46 |
| 2023-09-22 | 42.658 | 41.523 | 44.149 | 40.894 | 217041499 | 92536873407 | 8.79 |
| 2023-09-15 | 46.051 | 43.808 | 46.066 | 43.716 | 209850495 | 94494717902 | 8.49 |
| 2023-09-08 | 48.117 | 45.476 | 48.744 | 45.057 | 175855198 | 82172334190 | 7.12 |
| 2023-09-01 | 46.38 | 48.402 | 49.817 | 44.789 | 311419527 | 150493665105 | 12.61 |
| 2023-08-25 | 44.396 | 45.917 | 50.156 | 44.125 | 431021097 | 201474176111 | 17.45 |
| 2023-08-18 | 40.397 | 43.204 | 45.169 | 40.222 | 293041071 | 127262928142 | 11.86 |
| 2023-08-11 | 45.012 | 40.765 | 45.44 | 40.55 | 228823660 | 98465224535 | 9.25 |
| 2023-08-04 | 46.651 | 44.582 | 47.026 | 43.292 | 170821560 | 77252146721 | 6.93 |
| 2023-07-28 | 44.633 | 46.647 | 47.291 | 43.943 | 188258767 | 86286118670 | 7.62 |
| 2023-07-21 | 46.187 | 44.212 | 47.791 | 44.003 | 300981357 | 138060586593 | 12.19 |
| 2023-07-14 | 42.563 | 45.369 | 47.982 | 41.558 | 238370821 | 106140474514 | 9.66 |
| 2023-07-07 | 42.424 | 42.41 | 43.119 | 41.255 | 118184701 | 50176839635 | 4.78 |
| 2023-06-30 | 42.368 | 42.209 | 42.67 | 40.012 | 252079794 | 104283530249 | 10.21 |
| 2023-06-23 | 42.904 | 42.116 | 43.893 | 41.923 | 177863329 | 76293525329 | 7.20 |
| 2023-06-16 | 39.114 | 42.598 | 43.625 | 38.533 | 296767798 | 123817249073 | 12.01 |
| 2023-06-09 | 38.82 | 38.685 | 39.624 | 37.274 | 214231071 | 82933849498 | 8.66 |
| 2023-06-02 | 40.502 | 39.237 | 41.842 | 37.735 | 304458546 | 120360626214 | 12.32 |
| 2023-05-26 | 30.83 | 38.857 | 39.389 | 29.738 | 370797887 | 130972515860 | 14.99 |
| 2023-05-19 | 28.444 | 31.192 | 31.755 | 28.087 | 239849888 | 72861669954 | 9.71 |
| 2023-05-12 | 28.457 | 28.275 | 29.153 | 27.982 | 162556962 | 46596395830 | 6.57 |
| 2023-05-05 | 27.776 | 28.614 | 28.991 | 27.177 | 203978999 | 57591981311 | 8.25 |
